 ( 0.39574246391875789     , 8.64960397500169620E-004)
 ( 0.46633245692063241     , 0.92501127939845418     )
 ( 0.88352874017427752     , 0.93613670163642126     )
 (-0.70224993712717065     ,-0.87842204631744636     )
 ( 9.31548321396107326E-002,-0.61055366271398981     )
 (-0.13474680720188559     , 0.98071543843416720     )
 (-0.32696698554341452     ,-0.55048438218148732     )
 (-0.24783706644488035     ,-0.76790522541848105     )
 ( 0.23086607651682556     ,-0.50177072247425514     )
 ( 0.79067127888819044     ,-0.51240980961933502     )
 ( 0.14193566426583715     ,-0.96206428046605907     )
 (-0.31839811139779073     , 0.75596107397876011     )
 (-0.77862485134253490     , 0.77531585465043662     )
 ( 0.14998167594634282     ,-0.93058682447708208     )
 (-5.42607691744265708E-002,-0.19791304258536258     )
 ( 0.59908687371940772     ,-0.60456580432498441     )
 (-0.57312487899091735     ,-7.43788555441895483E-002)
 (-0.96837301453107472     ,-0.99932339706032991     )
 ( 0.96082058725087194     , 0.37000803143211414     )
 (-0.66334443473468951     , 0.91385461400948742     )
 (-0.51080583987457118     ,-0.35967376775284521     )
 (-0.83191441210798445     ,-0.90617973062143875     )
 ( 0.80623980123450423     , 0.37459612791223407     )
 (-3.62232290981765459E-002, 0.96437294077207270     )
 ( 3.22798959444057232E-002,-0.82124574765567360     )
 (-0.30350990915113840     ,-0.62887508251328228     )
 (-0.91024598517706323     ,-0.94529478143829948     )
 (-0.64199160188471893     ,-0.38491956446643627     )
 ( 0.12221400346836475     , 1.97578411609740101E-002)
 ( 0.72883897811092169     , 0.51467413652181193     )
 ( 0.57554610690717567     ,-0.56777450036873489     )
 ( 0.57658163123365824     ,-0.43995502748118298     )
 ( 0.72523551247174822     ,-0.43764566801701932     )
 (-0.92029815016250183     , 0.89248050866859074     )
 ( 0.61961540405345517     , 0.88472404934065452     )
 (-0.86146954243512397     , 0.43544191714789093     )
 (-0.32231113913892528     , 0.84753251957112496     )
 ( 0.58525614475896504     , 1.35592040858725227E-002)
 (-0.38278479470123017     ,-0.44958571830978400     )
 ( 0.53792318328120103     , 0.33965686537015216     )
 (-0.79474979268773183     , 0.51534232271296077     )
 ( 0.78343073491858917     ,-0.43058027219098705     )
 ( 0.85515938653625057     ,-0.13059072521571835     )
 ( 0.76969007967473857     ,-0.41407530108364909     )
 (-0.19777698118966924     , 0.70356617284891598     )
 (-0.68913071640205459     ,-0.22586597836716038     )
 ( 6.02578501153843149E-002,-0.31759844820874861     )
 (-0.63952119959098042     , 0.89575690959366483     )
 (-0.69486855128364056     ,-0.66354154310239011     )
 (-0.79163624294907464     , 0.51982662410005531     )
 (-0.91642191471792245     ,-0.32490060733460524     )
 ( 0.35790671039168132     , 0.67109664574871175     )
 (-0.73172247901309362     ,-0.75577315759461072     )
 ( 0.41234598067133987     ,-8.08799082798898894E-002)
 ( 0.55866760508356350     ,-0.42606274524462862     )
 ( 0.94251676689324171     ,-0.33717156597646891     )
 ( 0.27236563617068299     ,-0.20388318685491669     )
 (-0.95403736978088460     ,-0.88924361545645780     )
 (-0.97969047463684689     , 0.36576538042447027     )
 (-0.21231890646303242     , 0.28295702952953405     )
 (-0.42926458519239219     ,-0.77785175671102280     )
 ( 0.70919654873008398     ,-0.24069758078321257     )
 ( 0.86882105146982980     ,-6.85888301924322263E-002)
 ( 3.63388778483653141E-003,-1.25426524355773950E-002)
 ( 0.50118139385519811     ,-0.45925966171899546     )
 ( 0.80343477973436705     ,-0.51546450735754235     )
 ( 0.71334213830768789     , 0.85019239682980441     )
 ( 0.46275280254459261     ,-0.41351507000292287     )
 (-0.63522440823269477     ,-0.99835122946684152     )
 ( 1.18212074083530183E-002, 0.51079177937008780     )
 (-0.97400091064978511     ,-0.25035015338801969     )
 ( 0.51414544252289573     , 1.83238994454129056E-002)
 (-3.45354214980631014E-003,-0.80417366192887840     )
 ( 0.39266919428526847     , 0.13124860584235165     )
 (-0.31273463975558258     ,-0.55804554761233049     )
 ( 0.55653511594956484     ,-0.94686314562779472     )
 (-0.97369477847903596     ,-0.52399402574588549     )
 (-0.87085289285065670     , 0.13679870462174648     )
 (-9.87206673702090143E-002, 0.20563151005705294     )
 ( 0.64937748229791481     , 0.57226865822388362     )
 (-0.14865184290668054     , 7.39924366939632705E-002)
 ( 0.81438712173856942     , 0.16386215172274632     )
 (-0.89168367620286659     , 0.93843204850247020     )
 (-0.69692276337381287     ,-0.50145642426270598     )
 ( 0.61620077971567611     ,-0.70716349650161447     )
 (-0.76289480311894664     , 0.97016919017442405     )
 (-7.99504021877979199E-002, 0.52436893379069005     )
 ( 0.80011147116507431     ,-0.86731729046056927     )
 (-0.98199251191338277     ,-0.60574699503650464     )
 (-3.12423913100374762E-002,-4.77653570614577916E-002)
 ( 0.75167264372921494     , 0.62512278538689969     )
 (-0.14019614522366197     , 0.58065619016513637     )
 ( 0.52960766957269101     , 0.29383151884052694     )
 (-0.36080306455793476     , 0.77293211830811259     )
 ( 0.72339248651919519     ,-0.77678971749458725     )
 (-0.82956872909247892     , 0.13647207261777083     )
 ( 0.65577678335355216     ,-8.12239426982230839E-002)
 ( 0.62372788376486454     ,-0.22773628908857546     )
 ( 0.55224129633815977     ,-0.38850506127790396     )
 ( 0.27328205466775302     ,-8.54086074021509489E-002)
 ( 0.11154843721944729     ,-0.92490242626923447     )
 ( 0.95040084675732572     ,-0.11089159855345798     )
 ( 0.55359106176015160     , 0.14080792297351508     )
 (-0.50577753035035045     ,-0.29415366447535263     )
 ( 0.33497097364604400     , 0.91337061746161652     )
 ( 0.57231858466919761     , 0.12641985827126945     )
 ( 0.52019359260011555     ,-9.53659949322016587E-002)
 ( 7.92655651223057589E-002,-3.95740285242212053E-002)
 (-0.47991041922839628     , 0.57435296459265572     )
 ( 0.73566891876392759     ,-0.85296815602641374     )
 ( 0.14500561795161815     , 0.65700520383222027     )
 (-0.59842594577961705     , 0.98118150916973690     )
 ( 0.37938244390149833     ,-0.66204544700077150     )
 (-0.98986617100982954     ,-0.60808306995244976     )
 ( 0.80249624506441108     ,-0.37306778397749696     )
 ( 6.82663537542893550E-002,-0.15980947788359146     )
 ( 0.11831695316507052     ,-0.40877045032926418     )
 ( 0.63426284608689087     ,-0.83256827720033044     )
 (-9.84284553131615780E-002,-0.49010879588116296     )
 (-3.36675737335454528E-002, 0.21120710006055532     )
 ( 0.62812948294983784     , 0.17325287849688920     )
 (-0.83566387125294028     , 0.45276930361074363     )
 (-0.32831147150191242     , 0.78407102113362015     )
 ( 0.74790356495869759     ,-0.75968762115673627     )
 ( 0.67636975873804062     , 0.14693003662818427     )
 ( 1.18011646494409206E-003,-0.26647291332182732     )
 (-0.85783171574471595     ,-0.38372654944408424     )
 ( 0.96605776211568894     ,-0.24323259819363585     )
 (-0.10181167302946648     , 0.78997652753559322     )
 (-0.79466385130800887     ,-2.80142026362639740E-002)
 (-0.77684446571957011     ,-1.04534604423704991E-002)
 (-0.96672019835049383     ,-0.44424223413518149     )
 ( 0.66478314356302093     , 0.58949073889447590     )
 (-0.90308005907369449     ,-0.12061722572816080     )
 ( 0.19510938291218594     ,-0.69818139641359522     )
 ( 0.38563271639028329     , 0.16440700537207675     )
 ( 0.42885879669963600     , 0.26673159341770969     )
 (-0.52755269163927920     ,-3.98497018167702777E-002)
 ( 0.56214751854749778     , 0.55198798047023701     )
 ( 0.69663475074795400     ,-0.56787683309659798     )
 (-7.96106204711364285E-002, 0.35089980076303817     )
 ( 0.85683902771446441     ,-0.64722284903081828     )
 ( 0.12300363589806551     ,-0.65288888784119337     )
 ( 0.69577346937008855     ,-0.53396947191783539     )
 (-0.41058647161319328     , 0.56290903863963848     )
 ( 4.47552278734164588E-002,-0.70336089238885080     )
 ( 0.26179534408665717     , 0.33151903222653090     )
 ( 0.10752615242082442     ,-0.13807408642589536     )
 (-3.39723578272028703E-002, 0.26232089123890745     )
 ( 0.27134719996396228     , 0.10883156445088815     )
 ( 0.85923732620826598     ,-0.74412016273766568     )
 ( 0.43769311810589073     ,-0.13911343862543646     )
 (-0.86881920149765079     , 0.45280487311446649     )
 ( 0.68845201748543872     , 0.85972500679604735     )
 (-0.12662798401888864     ,-0.22858777972886202     )
 ( 0.79478811306872643     ,-8.65600748631578654E-003)
 ( 0.26531238226245790     , 0.33367236663638522     )
 ( 0.40819285712617415     , 0.49065151900622794     )
 ( 0.53732755711248359     , 0.15164264421206752     )
 (-0.35483258871730783     ,-6.38741626954200115E-002)
 ( 0.26531094219424034     ,-0.87277919885537614     )
 (-0.78811458911187771     ,-7.81819598154882556E-002)
 ( 0.27005031100443233     , 0.51128623379837990     )
 ( 0.36151676206437600     , 0.79365507125947232     )
 ( 0.69371029112792115     , 0.90381190192669436     )
 ( 0.10808828014508975     , 0.75322956859945833     )
 ( 0.79439667842429884     ,-0.29098103631589112     )
 (-0.36474717216700725     , 0.58218361379879724     )
 ( 0.84747636549516159     , 0.36879533714454027     )
 ( 0.25957274225955729     ,-0.53390698203742915     )
 ( 0.60540650076509195     , 0.98809622116242934     )
 (-0.71566674775912276     ,-0.23437525712171947     )
 (-0.49282414025626764     ,-0.93242340916436461     )
 ( 0.38492478038309486     , 0.58685992868623060     )
 ( 0.83001780652070778     , 0.52596032150074024     )
 (-0.30109300069992884     , 0.75923627865898169     )
 ( 0.95075515127953025     , 0.20731539011330113     )
 ( 0.57642976706537041     , 8.07537372471003323E-002)
 (-0.33207983139900676     ,-0.56883294596253364     )
 (-0.87182589586999626     ,-0.19690601065469338     )
 ( 8.95955315609384684E-002, 0.28592851469124270     )
 ( 0.56182769229675245     ,-0.70368519322000367     )
 (-0.99831856188834678     ,-0.65685116283442113     )
 (-0.77723852404873384     ,-0.72901782768401091     )
 (-0.89205174102946927     , 0.96125831685730390     )
 ( 0.77346432660950626     , 8.71839220272292437E-002)
 (-0.58727987977599838     , 0.65751956032783454     )
 (-0.29214110604952026     ,-0.58798413632695912     )
 (-0.23970955091088086     ,-0.91454421997855917     )
 (-0.82569879013741598     ,-0.70796754823158636     )
 ( 0.73813315775955601     , 0.51681369114873377     )
 (-0.22670316335874219     , 0.70199662933367080     )
 (-0.49541968200285424     , 0.57181444396291425     )
 (-0.37381514366499147     ,-0.44176511814425368     )
 ( 0.45182638811447617     ,-0.92626027417180268     )
 ( 0.72768528534626142     ,-0.58880860920982769     )
 (-7.71722057715820142E-002, 0.75347902490170071     )
 ( 0.67171306675285081     ,-0.45043307802024657     )
 (-0.44816756085115372     ,-0.84878443907803813     )
 (-0.32532985757465127     ,-0.32508876133721998     )
 ( 0.40383401500118765     , 0.13564005851912242     )
 ( 0.93697373787480132     ,-0.11710011070949378     )
 (-0.71586167033419912     , 0.29064086463369421     )
 (-0.56969859512518184     ,-0.71704531282950512     )
 ( 0.83639072235157386     ,-6.49866059473040991E-002)
 ( 0.94836906026133505     ,-0.30645042800069433     )
 (-6.82174598945053390E-002,-0.70295097425617570     )
 (-0.38855526607725466     ,-0.41633267735512192     )
 ( 8.46680747943295842E-002, 0.54259086759019937     )
 ( 0.99267549485247031     , 0.53362527608583576     )
 (-0.95358118092108413     ,-0.24303124169990298     )
 (-0.21389443875458625     , 0.32805729921181381     )
 ( 0.29095689013595205     , 3.78359826879588468E-002)
 ( 0.73542741897912123     ,-0.63758774176421440     )
 ( 0.89798149136654359     , 0.62201294019484266     )
 (-0.21252762757016086     ,-4.09063652337593453E-002)
 ( 0.57436883506513681     ,-0.87531407356164692     )
 ( 0.64864983243304408     , 0.69250824813394019     )
 (-0.43347546699315131     , 0.81839976375396617     )
 ( 0.75442330830738769     , 0.78100176036485180     )
 (-0.53246442285442441     ,-0.64809125088846287     )
 (-0.11509698577962268     ,-0.48987773676225999     )
 ( 0.99874417909963853     , 0.95979877646265521     )
 (-0.82782227521651208     , 0.62305827616176401     )
 (-0.54321458516390209     ,-0.77744796450361520     )
 ( 7.05395206237753314E-002,-0.60736858084369061     )
 ( 0.50013232994924550     , 0.60808188995280688     )
 (-0.85228814821156362     , 4.20743670121552782E-002)
 (-0.73528659883684355     ,-0.21059310393435027     )
 (-0.42298858480186396     , 0.30117893875995350     )
 (-0.46785447882744080     , 0.14374693537717320     )
 (-0.63450480802570297     , 0.78744483086887129     )
 ( 3.74984766706560890E-002,-0.42440139390965470     )
 ( 0.16500312132492212     ,-0.16921593685487579     )
 (-0.66778827660309759     , 0.17496884329522544     )
 ( 0.63004179978289443     ,-0.81767282690299936     )
 ( 0.37275862727212683     , 0.15160272082834325     )
 (-0.51789721204992389     , 0.25512206757985467     )
 ( 0.77283473717275086     , 0.53142102619573706     )
 (-0.38729191849009936     ,-0.74579728016858127     )
 ( 0.14717258263024036     , 0.44217299491219109     )
 ( 0.73066255913052913     ,-0.49217991444533737     )
 ( 2.44934487262966627E-002,-0.74380295821891451     )
 ( 0.38110625699001588     , 0.87775920350230052     )
 ( 0.37653407068867040     ,-0.17114506593885181     )
 ( 0.90843563801430349     ,-0.70319805593607754     )
 (-1.45292878231444433E-002,-0.37364988486172734     )
 (-0.49955987647175704     ,-0.12727822634639807     )
 (-0.13565785601870317     ,-0.64405369275755930     )
 (-0.63948446412079107     ,-0.14709728675729394     )
 ( 9.01841238441178916E-002, 9.97555979216642186E-002)
 ( 0.95700726270225545     ,-7.10531138204899548E-002)
 (-0.83153140665624647     , 0.83995344740673517     )
 ( 0.96704039685513266     , 0.36866117348409233     )
 ( 6.02845427024334413E-003, 0.20318894267244758     )
 (-0.13495066933914046     , 0.41078102410386208     )
 ( 0.43888096465231996     ,-0.57522033107716908     )
 (-0.87293721104507682     , 0.98788590316194558     )
 (-0.12282299641820060     , 0.74369927039980865     )
 ( 0.87906957254354978     ,-0.47762629697246695     )
 (-4.71628057848434423E-002, 0.11706962983657121     )
 ( 0.78492285203886780     , 0.26127819008416253     )
 (-0.82777335418345643     ,-0.65745389045117264     )
 ( 0.44467420164615845     , 0.99532171436879224     )
 ( 0.69740537844088379     ,-0.92167903292102693     )
 (-0.91859980666223606     ,-0.71191753019861181     )
 (-0.15899117215995062     , 0.15815438448009189     )
 (-0.51806821604240127     , 0.38970905952162838     )
 (-0.87740030659049495     ,-5.74379672514240269E-002)
 ( 0.79785742115958413     , 0.31842249389620036     )
 (-0.61567371152282391     ,-0.21826976841396828     )
 ( 0.80618226869270160     , 0.27929452805704358     )
 (-0.78813902002932679     , 0.17058205959300921     )
 (-0.40247429259526513     ,-0.60433106862223696     )
 (-0.41118723651661782     ,-0.34363227883103065     )
 (-0.44783519455385346     , 2.12863730923160688E-002)
 ( 0.29004800999430103     , 0.44388758381477800     )
 ( 0.15402026951490910     ,-0.32712839369305158     )
 (-0.92244955801911743     , 0.98766406320589084     )
 (-0.92172901140751407     ,-0.50916896304676840     )
 ( 0.51254294939851519     ,-0.65625354667373159     )
 ( 0.59311116248053253     , 0.34197707477692774     )
 ( 0.47551743998464957     , 0.98104837512493503     )
 (-0.71133233044273680     ,-0.90996961974571633     )
 (-0.24748796642004578     , 5.28682495789709606E-002)
 (-0.74028772846819635     ,-0.33076025562576916     )
 (-0.11262494335674234     ,-0.64178341028139840     )
 (-0.97802902241577527     , 0.52098936752184244     )
 (-0.37320002912858996     ,-0.44054254890807698     )
 ( 0.65798889613832756     ,-0.56507776075472549     )
 (-0.46645792118042806     ,-0.52774741868132224     )
 (-0.88390931037637444     , 0.24208366248529245     )
 ( 0.67437408965181334     ,-0.16443683319563007     )
 ( 0.49842181594234347     , 0.13006821389335954     )
 (-0.21105910036371966     , 0.95820308835788381     )
 (-3.01984100333712036E-002, 0.20632408616113906     )
 (-0.77532825526643734     , 0.70383676737764489     )
 (-0.87839677074945399     ,-0.43218168116886346     )
 ( 0.51723771661126960     , 0.72306151044323741     )
 ( 0.88253596025079872     , 0.41038239085508366     )
 (-0.73335800134780271     ,-0.40100375742873240     )
 ( 0.15447745470950025     , 0.12142752121354050     )
 (-0.50816342499215494     , 0.19630315806613652     )
 ( 0.16482884046168778     , 0.96253030320706756     )
 (-0.34728990651658620     , 0.17248361281826163     )
 (-0.90932321321034948     ,-0.39417051642380585     )
 (-0.15667547797520598     ,-0.87069796692583878     )
 ( 0.97278520155551718     ,-0.19256871059571523     )
 ( 0.24533072881242646     ,-0.31901077687530943     )
 ( 0.57254039570292292     ,-0.12571879619572002     )
 ( 0.87150263745129308     ,-0.15085328197040582     )
 ( 3.08756703279513545E-002,-7.45880043128366310E-002)
 ( 0.13723366148067129     , 0.34170424741841288     )
 (-0.51165833762107837     ,-0.49369138054311890     )
 (-0.79142479358834095     , 0.73956045257965997     )
 ( 0.86830494715396611     , 0.75352781727331575     )
 ( 0.84990264273485394     , 0.32935023147205555     )
 (-0.41581316087528108     , 0.51786137957179079     )
 ( 0.21850679982494370     ,-0.16118202503651702     )
 (-9.48654427761894681E-002, 0.75542454882445753     )
 (-0.56173379159665870     ,-0.16777799747479349     )
 ( 0.12598542659323897     ,-0.17072751292420918     )
 ( 0.66599452820437222     , 0.81173920678076428     )
 ( 0.68527907590006265     ,-0.50331443041870472     )
 ( 0.70301633772489680     , 0.57666777373082567     )
 ( 0.23283015768523541     , 0.28130601492539853     )
 (-0.91305976557837454     , 0.17002735914717704     )
 ( 0.76443246882077887     , 0.26204151629138295     )
 ( 0.23540849645475959     ,-0.52838222844912508     )
 (-0.16093802099013743     ,-0.70573640089691736     )
 (-5.92551089390340735E-002, 0.48240653836148084     )
 (-0.77808131262626290     , 0.18050689705494705     )
